Period,Births_Deaths_or_Natural_Increase,Count
2000,Births,56604
2001,Births,55800
2002,Births,54021
2003,Births,56136
2004,Births,58074
2005,Births,57744
2006,Births,59193
2007,Births,64044
2008,Births,64341
2009,Births,62541
2010,Births,63897
2011,Births,61404
2012,Births,61179
2013,Births,58719
2014,Births,57243
2015,Births,61038
2016,Births,59430
2017,Births,59610
2018,Births,58020
2019,Births,59637
2000,Deaths,26658
2001,Deaths,27825
2002,Deaths,28065
2003,Deaths,28011
2004,Deaths,28419
2005,Deaths,27033
2006,Deaths,28245
2007,Deaths,28521
2008,Deaths,29187
2009,Deaths,28965
2010,Deaths,28437
2011,Deaths,30081
2012,Deaths,30099
2013,Deaths,29568
2014,Deaths,31062
2015,Deaths,31608
2016,Deaths,31179
2017,Deaths,33339
2018,Deaths,33225
2019,Deaths,34260
2000,Natural_Increase,29943
2001,Natural_Increase,27972
2002,Natural_Increase,25956
2003,Natural_Increase,28125
2004,Natural_Increase,29655
2005,Natural_Increase,30711
2006,Natural_Increase,30948
2007,Natural_Increase,35520
2008,Natural_Increase,35154
2009,Natural_Increase,33579
2010,Natural_Increase,35457
2011,Natural_Increase,31320
2012,Natural_Increase,31080
2013,Natural_Increase,29148
2014,Natural_Increase,26181
2015,Natural_Increase,29430
2016,Natural_Increase,28251
2017,Natural_Increase,26268
2018,Natural_Increase,24795
2019,Natural_Increase,25377
